TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV LIQ / PATRI,PSR,P/CAP GIRO,P AT CIR LIQ,LIQ CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
AALR3,18.95,,-398.52,1.85,0.88,31.33,7.76,-0.49,25.42,32.80,7.38,0.54,1.97,-22.36,-1.09,0.83,-0.47,-0.22,4.41,0.48,0.52,0.45,3.62,,9196826.22,10.22,-0.05,4.23,2241648863.20
ABCB4,16.18,6.28,6.39,0.78,0.07,23.86,18.43,13.98,4.85,4.85,,,0.89,-6.16,-0.08,0.72,12.25,1.16,,0.09,0.91,0.08,7.15,7.87,14238313.84,20.65,2.53,0.08,3658138109.24
ABEV3,14.70,4.11,18.27,2.75,1.67,51.05,23.29,17.39,13.64,12.73,-0.91,-0.18,3.18,-967.32,-2.32,0.99,15.08,9.14,18.74,0.61,0.39,0.53,9.82,0.20,391609447.97,5.34,0.80,1.61,231446594477.70
ADHM3,1.56,,-4.09,-1.29,105.12,100.00,-13548.48,-18860.61,-5.69,-5.69,0.00,,770.90,-1.43,-116.16,0.00,-31.47,-2571.90,22.61,-81.72,82.72,0.14,,,,-1.21,-0.38,-0.58,25439770.20
AERI3,5.16,0.40,57.14,3.96,1.28,11.54,8.36,2.78,19.02,21.74,2.72,0.57,1.59,3.10,-3.59,2.80,6.92,2.24,8.06,0.32,0.68,0.81,,,12784224.28,1.30,0.09,-1.47,3953661432.96
AESB3,11.30,2.04,12.48,1.38,0.47,16.81,8.41,36.44,54.08,97.89,43.81,1.12,4.55,10.57,-0.59,1.29,11.05,3.76,-4.65,0.34,0.66,0.10,,,16899309.88,8.20,0.91,,5560803393.50
AFLT3,9.68,1.97,6.12,2.47,2.21,88.64,85.80,82.95,5.92,5.75,-0.17,-0.07,5.08,12.11,-2.84,5.86,40.32,36.17,39.86,0.90,0.10,0.44,30.86,47.52,8565.69,3.92,1.58,0.01,610659896.00
AGRO3,31.50,14.72,7.58,1.32,0.89,27.33,21.57,45.98,16.16,15.59,-0.56,-0.05,3.48,2.70,-1.75,3.04,17.36,11.72,5.41,0.68,0.32,0.26,55.29,121.45,34744010.31,23.95,4.16,0.03,3224875752.00
AGXY3,10.30,,2641.89,1.19,0.26,6.94,-2.02,0.02,-22.47,-30.58,-8.10,0.43,0.45,3.23,-1.28,1.11,0.05,0.01,-3.43,0.22,0.78,0.57,,,1147243.94,8.63,0.00,,1759497386.70
AHEB3,27.50,,-3.15,-3.32,0.75,28.13,-24.82,-42.95,-5.45,-4.99,0.53,,1.35,-53.36,-1.08,0.96,-105.53,-23.80,60.99,-0.23,1.23,0.55,-1.24,,4125.00,-8.28,-8.73,-0.01,238221493.00
AHEB5,22.00,,-2.52,-2.66,0.60,28.13,-24.82,-42.95,-4.36,-4.99,0.53,,1.08,-42.69,-0.86,0.96,-105.53,-23.80,60.99,-0.23,1.23,0.55,-1.24,,2348.50,-8.28,-8.73,-0.01,238221493.00
