code;name;sector;segment
CSAN;COSAN;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO
DMMO;DOMMO;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO
ENAT;ENAUTA PART;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO
RPMG;PET MANGUINH;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO
PETR;PETROBRAS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO
BRDT;PETROBRAS BR;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO
PRIO;PETRORIO;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO
UGPA;ULTRAPAR;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO
LUPA;LUPATECH;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS
OSXB;OSX BRASIL;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS
BRAP;BRADESPAR;MATERIAIS BÁSICOS;MINERAIS METÁLICOS
LTEL;LITEL;MATERIAIS BÁSICOS;MINERAIS METÁLICOS
LTLA;LITELA;MATERIAIS BÁSICOS;MINERAIS METÁLICOS
MMXM;MMX MINER;MATERIAIS BÁSICOS;MINERAIS METÁLICOS
VALE;VALE;MATERIAIS BÁSICOS;MINERAIS METÁLICOS
FESA;FERBASA;MATERIAIS BÁSICOS;SIDERURGIA
GGBR;GERDAU;MATERIAIS BÁSICOS;SIDERURGIA
GOAU;GERDAU MET;MATERIAIS BÁSICOS;SIDERURGIA
CSNA;SID NACIONAL;MATERIAIS BÁSICOS;SIDERURGIA
USIM;USIMINAS;MATERIAIS BÁSICOS;SIDERURGIA
MGEL;MANGELS INDL;MATERIAIS BÁSICOS;ARTEFATOS DE FERRO E AÇO
PATI;PANATLANTICA;MATERIAIS BÁSICOS;ARTEFATOS DE FERRO E AÇO
TKNO;TEKNO;MATERIAIS BÁSICOS;ARTEFATOS DE FERRO E AÇO
PMAM;PARANAPANEMA;MATERIAIS BÁSICOS;ARTEFATOS DE COBRE
BRKM;BRASKEM;MATERIAIS BÁSICOS;PETROQUÍMICOS
ELEK;ELEKEIROZ;MATERIAIS BÁSICOS;PETROQUÍMICOS
GPCP;GPC PART;MATERIAIS BÁSICOS;PETROQUÍMICOS
FHER;FER HERINGER;MATERIAIS BÁSICOS;FERTILIZANTES E DEFENSIVOS
NUTR;NUTRIPLANT;MATERIAIS BÁSICOS;FERTILIZANTES E DEFENSIVOS
CRPG;CRISTAL;MATERIAIS BÁSICOS;QUÍMICOS DIVERSOS
UNIP;UNIPAR;MATERIAIS BÁSICOS;QUÍMICOS DIVERSOS
DTEX;DURATEX;MATERIAIS BÁSICOS;MADEIRA
EUCA;EUCATEX;MATERIAIS BÁSICOS;MADEIRA
RANI;IRANI;MATERIAIS BÁSICOS;PAPEL E CELULOSE
KLBN;KLABIN S/A;MATERIAIS BÁSICOS;PAPEL E CELULOSE
MSPA;MELHOR SP;MATERIAIS BÁSICOS;PAPEL E CELULOSE
STTZ;SANTHER;MATERIAIS BÁSICOS;PAPEL E CELULOSE
NEMO;SUZANO HOLD;MATERIAIS BÁSICOS;PAPEL E CELULOSE
SUZB;SUZANO S.A.;MATERIAIS BÁSICOS;PAPEL E CELULOSE
MTIG;METAL IGUACU;MATERIAIS BÁSICOS;EMBALAGENS
SNSY;SANSUY;MATERIAIS BÁSICOS;MATERIAIS DIVERSOS
ETER;ETERNIT;BENS INDUSTRIAIS;PRODUTOS PARA CONSTRUÇÃO
HAGA;HAGA S/A;BENS INDUSTRIAIS;PRODUTOS PARA CONSTRUÇÃO
PTBL;PORTOBELLO;BENS INDUSTRIAIS;PRODUTOS PARA CONSTRUÇÃO
AZEV;AZEVEDO;BENS INDUSTRIAIS;CONSTRUÇÃO PESADA
SOND;SONDOTECNICA;BENS INDUSTRIAIS;ENGENHARIA CONSULTIVA
TCNO;TECNOSOLO;BENS INDUSTRIAIS;ENGENHARIA CONSULTIVA
MILS;MILLS;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS
EMBR;EMBRAER;BENS INDUSTRIAIS;MATERIAL AERONÁUTICO E DE DEFESA
FRAS;FRAS-LE;BENS INDUSTRIAIS;MATERIAL RODOVIÁRIO
POMO;MARCOPOLO;BENS INDUSTRIAIS;MATERIAL RODOVIÁRIO
RAPT;RANDON PART;BENS INDUSTRIAIS;MATERIAL RODOVIÁRIO
RCSL;RECRUSUL;BENS INDUSTRIAIS;MATERIAL RODOVIÁRIO
RSUL;RIOSULENSE;BENS INDUSTRIAIS;MATERIAL RODOVIÁRIO
TUPY;TUPY;BENS INDUSTRIAIS;MATERIAL RODOVIÁRIO
MWET;WETZEL S/A;BENS INDUSTRIAIS;MATERIAL RODOVIÁRIO
SHUL;SCHULZ;BENS INDUSTRIAIS;MOTORES, COMPRESSORES E OUTROS
